superid,initial_coop,inital_defect,initial_punish,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
2807,0,1,0,0.407142857142857,437.5,4,1150
2808,1,0,0,0.408602150537634,516.666666666667,7,200
2809,1,0,0,0.346504559270517,335.714285714286,5,1150
2811,1,0,0,0,200,2,200
2812,1,0,0,0,200,4,200
2813,1,0,0,0.38974358974359,390,6,1150
2814,1,0,0,0.407142857142857,437.5,2,200
2815,1,0,0,0.408602150537634,516.666666666667,7,200
2816,0,1,0,0,200,4,200
2901,0,1,0,0.408602150537634,516.666666666667,4,200
2902,0,1,0,0.408602150537634,516.666666666667,5,200
2903,1,0,0,0.351851851851852,675,2,200
2904,0,1,0,0.253333333333333,833.333333333333,3,1150
2905,1,0,0,0.38974358974359,390,6,1150
2907,0,1,0,0.351851851851852,675,6,200
2908,0,1,0,0.408602150537634,516.666666666667,5,1150
2910,0,1,0,0.296103896103896,770,4,200
2911,0,1,0,0.383193277310924,607.142857142857,7,1150
2912,1,0,0,0.351851851851852,675,4,200
2913,1,0,0,0.253333333333333,833.333333333333,2,200
3000,0,1,0,0.408602150537634,516.666666666667,6,1150
3001,1,0,0,0.408602150537634,516.666666666667,4,200
3002,0,1,0,0.351851851851852,675,5,200
3004,0,1,0,0.408602150537634,516.666666666667,4,1150
3005,0,1,0,0.408602150537634,516.666666666667,5,200
3006,0,1,0,0.407142857142857,437.5,3,200
3007,1,0,0,0.351851851851852,675,4,1150
3008,0,1,0,0.393103448275862,580,5,200
3009,1,0,0,0.351851851851852,675,4,200
3010,0,1,0,0.253333333333333,833.333333333333,2,1150
3011,1,0,0,0.393103448275862,580,5,200
3012,1,0,0,0.253333333333333,833.333333333333,3,1150
3013,0,1,0,0.408602150537634,516.666666666667,2,1150
3014,0,1,0,0.407142857142857,437.5,6,200
3100,0,1,0,0.407142857142857,437.5,3,200
3101,0,1,0,0.408602150537634,516.666666666667,3,1150
3102,0,1,0,0,200,4,200
3103,1,0,0,0.408602150537634,516.666666666667,3,200
3104,1,0,0,0.368217054263566,358.333333333333,8,200
3105,0,1,0,0,200,5,200
3106,0,1,0,0.408602150537634,516.666666666667,3,200
3107,0,1,0,0.408602150537634,516.666666666667,5,200
3108,1,0,0,0.407142857142857,437.5,6,200
3109,0,1,0,0.346504559270517,335.714285714286,6,1150
3110,1,0,0,0.38974358974359,390,6,200
3111,0,0,0,0,200,3,200
3112,1,0,0,0,200,3,200
3200,1,0,0,0,200,2,200
3201,1,0,0,0.408602150537634,516.666666666667,3,1150
3203,0,1,0,0.408602150537634,516.666666666667,2,200
3205,0,0,1,0.407142857142857,437.5,3,1150
3206,0,1,0,0,200,1,200
3207,1,0,0,0,200,1,200
3208,1,0,0,0.408602150537634,516.666666666667,5,200
3210,0,0,0,0,200,1,200
3211,0,1,0,0.407142857142857,437.5,3,200
3213,0,1,0,0.253333333333333,833.333333333333,3,200
3301,NA,NA,NA,NA,NA,NA,200
3303,0,1,0,0.400280898876405,556.25,5,1150
3304,NA,NA,NA,NA,NA,NA,200
3305,1,0,0,0.253333333333333,833.333333333333,2,1150
3306,0,1,0,0.195205479452055,912.5,4,1150
3307,1,0,0,0.351851851851852,675,4,200
3309,1,0,0,0.351851851851852,675,5,200
3310,0,0,0,0,200,1,200
3311,0,1,0,0.351851851851852,675,3,200
3312,1,0,0,0.393103448275862,580,4,1150
3313,1,0,0,0.407142857142857,437.5,2,200
3401,1,0,0,0.376984126984127,622.222222222222,7,200
3402,1,0,0,0.408602150537634,516.666666666667,3,1150
3403,1,0,0,0.296103896103896,770,4,200
3405,1,0,0,0.351851851851852,675,5,200
3406,0,1,0,0.368217054263566,358.333333333333,5,200
3407,0,1,0,0.411255411255411,471.428571428571,6,200
3408,0,1,0,0.408602150537634,516.666666666667,1,1150
3409,0,0,1,0.408602150537634,516.666666666667,2,200
3410,1,0,0,0.407142857142857,437.5,4,1150
3411,1,0,0,0.368217054263566,358.333333333333,5,200
3412,1,0,0,0.325980392156863,318.75,5,1150
3413,0,1,0,0.368217054263566,358.333333333333,5,200
3500,1,0,0,0.383193277310924,607.142857142857,5,200
3501,1,0,0,0.393103448275862,580,6,200
3502,1,0,0,0.253333333333333,833.333333333333,6,1150
3503,1,0,0,0.393103448275862,580,4,200
3504,1,0,0,0.253333333333333,833.333333333333,2,1150
3505,1,0,0,0.158333333333333,960,5,1150
3507,1,0,0,0,1150,4,1150
3508,1,0,0,0.383193277310924,607.142857142857,6,1150
